48.957240;9.475215;26.02.2017 23:24:18
48.957268;9.474929;26.02.2017 23:24:20
48.957292;9.474624;26.02.2017 23:24:22
48.957324;9.474310;26.02.2017 23:24:24
48.957348;9.473977;26.02.2017 23:24:26
48.957376;9.473689;26.02.2017 23:24:28
48.957404;9.473481;26.02.2017 23:24:30
48.957468;9.473322;26.02.2017 23:24:32
48.957476;9.473133;26.02.2017 23:24:34
48.957440;9.472953;26.02.2017 23:24:36
48.957440;9.472702;26.02.2017 23:24:38
48.957448;9.472390;26.02.2017 23:24:40
48.957464;9.472011;26.02.2017 23:24:42
48.957476;9.471582;26.02.2017 23:24:44
48.957484;9.471112;26.02.2017 23:24:46
48.957496;9.470601;26.02.2017 23:24:48
48.957496;9.470060;26.02.2017 23:24:50
48.957484;9.469225;26.02.2017 23:24:52
48.957496;9.468682;26.02.2017 23:24:55
48.957512;9.468150;26.02.2017 23:24:56
48.957552;9.467630;26.02.2017 23:24:59
48.957600;9.467115;26.02.2017 23:25:00
48.957648;9.466601;26.02.2017 23:25:03
48.957700;9.466088;26.02.2017 23:25:04
48.957772;9.465593;26.02.2017 23:25:07
48.957852;9.465102;26.02.2017 23:25:08
48.957928;9.464617;26.02.2017 23:25:11
48.957984;9.464133;26.02.2017 23:25:12
48.958016;9.463628;26.02.2017 23:25:15
48.957984;9.463126;26.02.2017 23:25:16
48.957880;9.462626;26.02.2017 23:25:19
48.957720;9.462155;26.02.2017 23:25:20
48.957528;9.461719;26.02.2017 23:25:23
48.957292;9.461320;26.02.2017 23:25:24
48.957024;9.460947;26.02.2017 23:25:27
48.956764;9.460615;26.02.2017 23:25:28
48.956500;9.460297;26.02.2017 23:25:31
48.956220;9.459980;26.02.2017 23:25:32
48.955900;9.459696;26.02.2017 23:25:35
48.955568;9.459474;26.02.2017 23:25:36
48.955216;9.459284;26.02.2017 23:25:39
48.954868;9.459095;26.02.2017 23:25:40
48.954516;9.458858;26.02.2017 23:25:43
48.954188;9.458552;26.02.2017 23:25:44
48.953928;9.458223;26.02.2017 23:25:47
48.953728;9.457882;26.02.2017 23:25:48
48.953572;9.457553;26.02.2017 23:25:51
48.953428;9.457245;26.02.2017 23:25:52
48.953312;9.456908;26.02.2017 23:25:55
48.953196;9.456585;26.02.2017 23:25:56
48.953104;9.456244;26.02.2017 23:25:59
48.953020;9.455897;26.02.2017 23:26:00
48.952940;9.455630;26.02.2017 23:26:03
48.952848;9.455318;26.02.2017 23:26:04
48.952768;9.455021;26.02.2017 23:26:07
48.952692;9.454712;26.02.2017 23:26:08
48.952628;9.454396;26.02.2017 23:26:11
48.952548;9.454104;26.02.2017 23:26:12
48.952456;9.453827;26.02.2017 23:26:15
48.952392;9.453520;26.02.2017 23:26:16
48.952352;9.453197;26.02.2017 23:26:19
48.952304;9.452883;26.02.2017 23:26:20
48.952236;9.452565;26.02.2017 23:26:23
48.952148;9.452238;26.02.2017 23:26:24
48.952040;9.451919;26.02.2017 23:26:27
48.951928;9.451597;26.02.2017 23:26:28
48.951804;9.451319;26.02.2017 23:26:31
48.951636;9.451110;26.02.2017 23:26:32
48.951432;9.450969;26.02.2017 23:26:35
48.951228;9.450883;26.02.2017 23:26:36
48.951016;9.450796;26.02.2017 23:26:39
48.950820;9.450660;26.02.2017 23:26:40
48.950636;9.450446;26.02.2017 23:26:43
48.950472;9.450196;26.02.2017 23:26:44
48.950308;9.449915;26.02.2017 23:26:47
48.950144;9.449632;26.02.2017 23:26:48
48.949976;9.449345;26.02.2017 23:26:51
48.949812;9.449058;26.02.2017 23:26:52
48.949648;9.448768;26.02.2017 23:26:55
48.949484;9.448510;26.02.2017 23:26:56
48.949324;9.448256;26.02.2017 23:26:59
48.949176;9.447984;26.02.2017 23:27:00
48.949032;9.447671;26.02.2017 23:27:03
48.948908;9.447371;26.02.2017 23:27:04
48.948780;9.446843;26.02.2017 23:27:08
48.948708;9.446499;26.02.2017 23:27:10
48.948672;9.446170;26.02.2017 23:27:12
48.948652;9.445842;26.02.2017 23:27:14
48.948644;9.445499;26.02.2017 23:27:16
48.948656;9.445147;26.02.2017 23:27:18
48.948664;9.444760;26.02.2017 23:27:20
48.948672;9.444433;26.02.2017 23:27:22
48.948680;9.444105;26.02.2017 23:27:24
48.948688;9.443795;26.02.2017 23:27:26
48.948716;9.443508;26.02.2017 23:27:28
48.948828;9.443343;26.02.2017 23:27:30
48.949008;9.443176;26.02.2017 23:27:32
48.949140;9.442995;26.02.2017 23:27:34
48.949196;9.442747;26.02.2017 23:27:36
48.949184;9.442493;26.02.2017 23:27:38
48.949148;9.442280;26.02.2017 23:27:40
48.949112;9.442061;26.02.2017 23:27:42
48.949080;9.441815;26.02.2017 23:27:44
48.949064;9.441647;26.02.2017 23:27:46
48.949032;9.441413;26.02.2017 23:27:48
48.948996;9.441221;26.02.2017 23:27:50
48.948976;9.441019;26.02.2017 23:27:52
48.948932;9.440762;26.02.2017 23:27:54
48.948904;9.440526;26.02.2017 23:27:56
48.948852;9.440291;26.02.2017 23:27:58
48.948804;9.440061;26.02.2017 23:28:00
48.948752;9.439865;26.02.2017 23:28:02
48.948696;9.439641;26.02.2017 23:28:04
48.948624;9.439417;26.02.2017 23:28:06
48.948552;9.439197;26.02.2017 23:28:08
48.948472;9.438959;26.02.2017 23:28:10
48.948400;9.438657;26.02.2017 23:28:12
48.948300;9.438376;26.02.2017 23:28:14
48.948156;9.438075;26.02.2017 23:28:16
48.947992;9.437777;26.02.2017 23:28:18
48.947840;9.437516;26.02.2017 23:28:20
48.947672;9.437270;26.02.2017 23:28:22
48.947516;9.437020;26.02.2017 23:28:24
48.947364;9.436785;26.02.2017 23:28:26
48.947208;9.436511;26.02.2017 23:28:28
48.947056;9.436258;26.02.2017 23:28:30
48.946924;9.436033;26.02.2017 23:28:32
48.946828;9.435863;26.02.2017 23:28:34
48.946744;9.435832;26.02.2017 23:28:36
48.946720;9.435760;26.02.2017 23:28:38
48.946664;9.435737;26.02.2017 23:28:40
48.946548;9.435662;26.02.2017 23:28:42
48.946428;9.435641;26.02.2017 23:28:44
48.946332;9.435793;26.02.2017 23:28:46
48.946296;9.436015;26.02.2017 23:28:48
48.946232;9.436285;26.02.2017 23:28:50
48.946144;9.436599;26.02.2017 23:28:52
48.946068;9.436929;26.02.2017 23:28:54
48.946024;9.437276;26.02.2017 23:28:56
48.946068;9.437613;26.02.2017 23:28:58
